Nr,x,y,H,Kodi,Përshkrimi,Burimi
Fe01M,7510693.832,4691608.065,659.768,11,Monoment,PM
41216,7509661.369,4689406.927,649.5083,2,Kunjë - shtyllë metalik,PM
41217,7509651.463,4689393.467,650.0003,2,Kunjë - shtyllë metalik,PM
41218,7509623.452,4689371.72,0,2,Kunjë - shtyllë metalik,PM
41219,7509616.822,4689360.661,0,2,Kunjë - shtyllë metalik,PM
45992,7509671.27,4689281.451,669.401,2,Kunjë - shtyllë metalik,PM
45993,7509649.641,4689311.621,662.861,2,Kunjë - shtyllë metalik,PM
45994,7509678.351,4689332.25,0,2,Kunjë - shtyllë metalik,PM
45995,7509705.21,4689296.009,666.04,2,Kunjë - shtyllë metalik,PM
45996,7509684.849,4689262.972,672.849,2,Kunjë - shtyllë metalik,PM
46004,7509617.262,4689354.491,0,2,Kunjë - shtyllë metalik,PM
46005,7509628.502,4689339.031,656.827,2,Kunjë - shtyllë metalik,PM
46006,7509639.391,4689324.651,659.812,2,Kunjë - shtyllë metalik,PM
46010,7509667.291,4689359.879,0,2,Kunjë - shtyllë metalik,PM
46011,7509662.002,4689372.478,0,2,Kunjë - shtyllë metalik,PM
46012,7509673.482,4689378.398,649.1864,2,Kunjë - shtyllë metalik,PM
46013,7509678.023,4689366.494,649.32,,,
46014,7509689.121,4689338.419,652.791,,,
46015,7509697.742,4689327.186,656.688,2,Kunjë - shtyllë metalik,PM
46016,7509701.03,4689323.35,658.375,2,Kunjë - shtyllë metalik,PM
46017,7509714.85,4689306.049,664.574,2,Kunjë - shtyllë metalik,PM
46018,7509654.542,4689355.52,0,2,Kunjë - shtyllë metalik,PM
46023,7509665.569,4689399.237,649.201,2,Kunjë - shtyllë metalik,PM
46032,7509657.062,4689383.289,0,2,Kunjë - shtyllë metalik,PM
