Nr,x,y,H,Kodi,Përshkrimi,Burimi
Fe01M,7510693.832,4691608.065,659.768,11,Monoment,PM
48464,7509953.543,4690032.836,654.6896,2,Kunjë - shtyllë metalik,PM
48465,7509956.413,4690029.486,654.4887,2,Kunjë - shtyllë metalik,PM
48476,7509946.374,4690046.706,654.6819,2,Kunjë - shtyllë metalik,PM
48485,7509938.294,4690060.516,654.5946,2,Kunjë - shtyllë metalik,PM
48486,7509924.425,4690082.995,654.5685,2,Kunjë - shtyllë metalik,PM
48487,7509975.757,4690142.741,652.1176,2,Kunjë - shtyllë metalik,PM
48488,7510005.858,4690170.068,651.4876,2,Kunjë - shtyllë metalik,PM
48489,7510009.748,4690164.758,651.6438,2,Kunjë - shtyllë metalik,PM
48490,7510019.847,4690139.979,651.8104,2,Kunjë - shtyllë metalik,PM
48491,7510028.036,4690121.667,651.964,2,Kunjë - shtyllë metalik,PM
48492,7510032.556,4690111.56,651.8717,2,Kunjë - shtyllë metalik,PM
48493,7510043.505,4690082.81,651.4805,2,Kunjë - shtyllë metalik,PM
48494,7510020.865,4690071.842,651.8427,2,Kunjë - shtyllë metalik,PM
48495,7509996.374,4690055.314,652.6073,2,Kunjë - shtyllë metalik,PM
48496,7509969.123,4690040.215,653.9872,2,Kunjë - shtyllë metalik,PM
1,7509939.306,4690058.787,654.5137,2,Kunjë - shtyllë metalik,PM
2,7510024.576,4690129.405,652.1115,2,Kunjë - shtyllë metalik,PM
9,7510033.632,4690108.734,651.6713,2,Kunjë - shtyllë metalik,PM
10,7510030.296,4690106.256,651.8126,2,Kunjë - shtyllë metalik,PM
11,7510039.891,4690081.059,651.553,2,Kunjë - shtyllë metalik,PM
12,7509947.422,4690044.679,654.743,2,Kunjë - shtyllë metalik,PM
